GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA21_907: Median after-tax income of household in 2020 ($),v_CA21_906: Median total income of household in 2020 ($)
5350071.00,CT,0071.00,0.464,3342,1489,1406,93000,109000
5350072.01,CT,0072.01,0.4061,4509,1973,1881,67000,73000
5350072.02,CT,0072.02,0.5419,2985,1299,1222,93000,106000
5350073.00,CT,0073.00,0.3507,2478,1068,993,84000,94000
5350074.00,CT,0074.00,0.3912,3723,1683,1557,79000,90000
5350075.00,CT,0075.00,0.5072,4014,1817,1737,76500,89000
5350076.00,CT,0076.00,0.4682,4237,1870,1792,83000,97000
5350077.00,CT,0077.00,0.5997,4493,1923,1814,94000,110000
5350078.00,CT,0078.00,0.7622,6282,3121,2931,76000,87000
5350079.00,CT,0079.00,1.0045,7424,2997,2874,104000,126000
5350080.01,CT,0080.01,0.4847,3707,1717,1586,81000,93000
5350080.02,CT,0080.02,0.4044,4642,2349,2110,57600,63600
5350081.00,CT,0081.00,0.368,2848,1154,1090,96000,112000
5350082.00,CT,0082.00,0.3084,2647,1083,1021,99000,115000
5350083.00,CT,0083.00,0.4464,3869,1921,1798,67000,76500
5350084.00,CT,0084.00,0.409,3552,1558,1464,99000,118000
5350085.00,CT,0085.00,0.4947,4160,2347,2182,65000,76000
5350086.00,CT,0086.00,1.139,2528,957,900,206000,278000
5350087.00,CT,0087.00,1.6034,4814,2608,2374,117000,151000
5350088.00,CT,0088.00,0.2297,3127,2129,1865,76000,90000
5350089.00,CT,0089.00,0.3297,5349,4313,3222,70500,84000
5350090.00,CT,0090.00,0.3929,4020,2516,2244,79500,95000
5350091.01,CT,0091.01,0.5114,5739,3901,3244,70000,82000
5350091.02,CT,0091.02,0.323,3421,2260,1919,59600,68500
5350092.00,CT,0092.00,0.6258,6818,4125,3478,72500,84000
5350093.00,CT,0093.00,0.6155,5358,2481,2221,88000,102000
5350094.00,CT,0094.00,0.6373,4699,2141,1960,78500,90000
5350095.00,CT,0095.00,0.3148,2913,1401,1272,77000,88000
5350096.01,CT,0096.01,0.1989,1610,716,647,80000,93000
5350096.02,CT,0096.02,0.3492,3156,1557,1381,74000,85000
