GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households,"v_CA21_3: Population percentage change, 2016 to 2021"
5350050.01,CT,50.01,1.2981,8648,4533,4234,-1.1
5350050.03,CT,50.03,1.7111,1085,607,568,-2.2
5350050.04,CT,50.04,0.7566,4907,2300,2144,-2
5350051,CT,51,0.6912,4979,2376,2139,-7.8
5350052,CT,52,0.5005,4074,2022,1861,-0.1
5350053,CT,53,0.6839,5823,2892,2642,-2.7
5350054,CT,54,0.7024,5453,2948,2628,-6
5350055,CT,55,0.2764,2691,1442,1303,-2.6
5350056,CT,56,0.5095,4436,2200,1960,-7
5350057,CT,57,0.2664,2287,1249,1084,-1
5350058,CT,58,0.3841,3757,2048,1834,-5.6
5350059,CT,59,0.3666,3843,1639,1398,0.2
5350060,CT,60,0.2716,2550,1665,1362,-5
5350061,CT,61,0.7673,1202,533,481,10.8
5350062.01,CT,62.01,0.1068,4843,3148,2616,-13.4
5350062.03,CT,62.03,0.4638,4224,3208,2560,26.1
5350062.04,CT,62.04,0.1215,8524,6535,5409,48.7
5350063.03,CT,63.03,0.0934,4869,3604,3186,-4.6
5350063.04,CT,63.04,0.1409,4778,3507,3108,41.8
5350063.05,CT,63.05,0.1299,6551,5240,4250,51.3
5350063.06,CT,63.06,0.1922,6217,4628,4081,20.2
5350064,CT,64,0.1947,4963,3372,2929,15.1
5350065.01,CT,65.01,0.0861,2650,1872,1465,6.7
5350065.02,CT,65.02,0.1434,11120,5692,5135,-5.9
5350066,CT,66,0.3285,7062,4650,4192,-7.2
5350067,CT,67,0.6514,1692,843,781,-0.1
5350068,CT,68,0.4175,2451,1321,1226,3.5
5350069,CT,69,0.8625,4847,1983,1829,-1.5
5350070,CT,70,0.4435,3302,1781,1668,-6
5350071,CT,71,0.464,3342,1489,1406,-4
5350072.01,CT,72.01,0.4061,4509,1973,1881,-1.7
5350072.02,CT,72.02,0.5419,2985,1299,1222,-5
5350073,CT,73,0.3507,2478,1068,993,-4.9
5350074,CT,74,0.3912,3723,1683,1557,-3.2
5350075,CT,75,0.5072,4014,1817,1737,-1.7
5350076,CT,76,0.4682,4237,1870,1792,-4
5350077,CT,77,0.5997,4493,1923,1814,-3.8
5350078,CT,78,0.7622,6282,3121,2931,4.4
