GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA21_4818: Total - Generation status for the population in private households,v_CA21_4821: First generation,v_CA21_4824: Second generation,v_CA21_4827: Third generation or more,v_CA21_914: Income statistics for private households,v_CA21_917: Income statistics for one-person private households,v_CA21_920: Income statistics for two-or-more-persons private households,v_CA21_905: Income statistics for private households,"v_CA21_1: Population, 2021",v_CA21_6: Population density per square kilometre
5350042.00,CT,0042.00,0.4899,4423,2179,1960,4285,1590,1270,1415,1965,680,1280,1960,4423,9028.4
5350043.00,CT,0043.00,0.5539,3670,1874,1662,3610,1325,1115,1160,1660,600,1060,1665,3670,6625.7
5350044.01,CT,0044.01,0.3972,5016,2629,2414,4915,1775,1575,1565,2385,895,1485,2415,5016,12628.4
5350044.02,CT,0044.02,0.0932,4255,2994,2702,4215,1460,1325,1430,2695,1495,1200,2705,4255,45654.5
5350045.00,CT,0045.00,0.2951,3247,1601,1456,3115,1220,895,995,1475,545,935,1455,3247,11003
5350046.00,CT,0046.00,0.4227,3151,1474,1318,3235,1355,995,885,1330,375,955,1320,3151,7454.5
5350047.02,CT,0047.02,0.287,3511,2046,1775,3475,1710,910,860,1765,885,875,1775,3511,12233.4
5350047.03,CT,0047.03,0.1156,1014,575,549,1080,255,335,490,560,235,325,550,1014,8771.6
5350047.04,CT,0047.04,0.2738,2773,1198,1126,2760,730,860,1170,1135,315,820,1125,2773,10127.8
5350048.00,CT,0048.00,0.3349,3353,1630,1474,3260,915,1005,1340,1450,510,945,1470,3353,10011.9
5350049.00,CT,0049.00,0.4652,3351,1477,1365,3150,725,980,1440,1355,415,935,1365,3351,7203.4
5350050.01,CT,0050.01,1.2981,8648,4533,4234,8455,3145,2510,2795,4230,1760,2470,4235,8648,6662
5350050.03,CT,0050.03,1.7111,1085,607,568,1080,460,365,265,585,260,330,570,1085,634.1
5350050.04,CT,0050.04,0.7566,4907,2300,2144,5090,1685,1625,1775,2145,710,1435,2145,4907,6485.6
5350051.00,CT,0051.00,0.6912,4979,2376,2139,4890,1260,1555,2080,2135,750,1380,2135,4979,7203.4
5350052.00,CT,0052.00,0.5005,4074,2022,1861,4035,1100,1265,1670,1865,720,1140,1860,4074,8139.9
5350053.00,CT,0053.00,0.6839,5823,2892,2642,5790,2390,1675,1735,2660,965,1695,2640,5823,8514.4
5350054.00,CT,0054.00,0.7024,5453,2948,2628,5420,2135,1420,1860,2610,1065,1545,2625,5453,7763.4
5350055.00,CT,0055.00,0.2764,2691,1442,1303,2685,795,825,1060,1305,525,785,1300,2691,9735.9
5350056.00,CT,0056.00,0.5095,4436,2200,1960,4340,1575,1280,1485,1955,615,1340,1960,4436,8706.6
5350057.00,CT,0057.00,0.2664,2287,1249,1084,2340,765,725,845,1115,450,665,1085,2287,8584.8
5350058.00,CT,0058.00,0.3841,3757,2048,1834,3765,1340,1100,1325,1800,700,1100,1835,3757,9781.3
5350059.00,CT,0059.00,0.3666,3843,1639,1398,3140,1275,880,990,1425,480,950,1400,3843,10482.8
5350060.00,CT,0060.00,0.2716,2550,1665,1362,2500,980,720,810,1330,620,710,1360,2550,9388.8
5350061.00,CT,0061.00,0.7673,1202,533,481,790,580,150,60,485,295,190,480,1202,1566.5
5350062.01,CT,0062.01,0.1068,4843,3148,2616,4075,2335,960,780,2650,1610,1040,2615,4843,45346.4
5350062.03,CT,0062.03,0.4638,4224,3208,2560,3915,2495,725,695,2505,1345,1160,2560,4224,9107.4
5350062.04,CT,0062.04,0.1215,8524,6535,5409,8680,5825,1795,1060,5430,3070,2360,5410,8524,70156.4
5350063.03,CT,0063.03,0.0934,4869,3604,3186,4970,2905,930,1135,3240,1905,1330,3185,4869,52130.6
5350063.04,CT,0063.04,0.1409,4778,3507,3108,4995,2665,1115,1220,3215,1875,1345,3110,4778,33910.6
5350063.05,CT,0063.05,0.1299,6551,5240,4250,6360,3950,1290,1120,4195,2540,1655,4250,6551,50431.1
5350063.06,CT,0063.06,0.1922,6217,4628,4081,5995,3150,1235,1610,4020,2470,1545,4085,6217,32346.5
5350064.00,CT,0064.00,0.1947,4963,3372,2929,4770,2330,1010,1435,2965,1575,1385,2930,4963,25490.5
5350065.01,CT,0065.01,0.0861,2650,1872,1465,2655,1850,430,375,1435,655,780,1465,2650,30778.2
5350065.02,CT,0065.02,0.1434,11120,5692,5135,11110,7670,2360,1080,5135,2155,2980,5135,11120,77545.3
5350066.00,CT,0066.00,0.3285,7062,4650,4192,6990,3190,1535,2270,4235,2360,1875,4195,7062,21497.7
5350067.00,CT,0067.00,0.6514,1692,843,781,1690,575,550,565,770,215,555,780,1692,2597.5
5350068.00,CT,0068.00,0.4175,2451,1321,1226,2335,720,615,995,1200,485,710,1230,2451,5870.7
5350069.00,CT,0069.00,0.8625,4847,1983,1829,4665,1415,1485,1760,1865,445,1415,1830,4847,5619.7
5350070.00,CT,0070.00,0.4435,3302,1781,1668,3220,870,915,1440,1635,800,835,1665,3302,7445.3
5350071.00,CT,0071.00,0.464,3342,1489,1406,3405,835,1065,1505,1410,380,1030,1410,3342,7202.6
5350072.01,CT,0072.01,0.4061,4509,1973,1881,4525,1590,1290,1645,1885,615,1270,1885,4509,11103.2
5350072.02,CT,0072.02,0.5419,2985,1299,1222,2950,930,830,1195,1215,355,865,1225,2985,5508.4
5350073.00,CT,0073.00,0.3507,2478,1068,993,2675,935,700,1040,1040,255,780,995,2478,7065.9
5350074.00,CT,0074.00,0.3912,3723,1683,1557,3875,1335,1100,1430,1605,480,1120,1555,3723,9516.9
5350075.00,CT,0075.00,0.5072,4014,1817,1737,3850,1215,1140,1490,1695,620,1070,1735,4014,7914
5350076.00,CT,0076.00,0.4682,4237,1870,1792,4035,1290,1210,1535,1775,565,1210,1790,4237,9049.6
5350077.00,CT,0077.00,0.5997,4493,1923,1814,4625,1205,1270,2145,1825,495,1330,1810,4493,7492.1
